timestamp,pm25_0,pm25_1,pm25_2,pm25_3
1605374706,54,64,71,66
1605374707,53,65,72,67
1605374708,53,65,72,67
1605374709,53,65,72,67
1605374710,52,64,72,68
1605374711,52,64,72,68
1605374712,52,64,72,68
1605374713,52,64,73,67
1605374714,52,64,73,67
1605374715,53,64,73,66
1605374716,53,64,73,66
1605374717,53,64,73,66
1605374718,53,65,73,66
1605374719,53,65,73,66
1605374720,53,66,73,66
1605374721,53,66,73,66
1605374722,53,66,73,66
1605374723,53,66,73,66
1605374724,53,66,73,66
1605374725,53,66,73,66
1605374726,52,66,72,67
1605374727,52,66,72,67
1605374728,53,63,72,68
1605374729,53,62,72,69
1605374730,53,62,71,69
1605374731,54,62,71,69
1605374732,54,62,71,69
1605374733,54,62,70,69
1605374734,54,62,70,69
1605374735,54,62,69,69
1605374736,54,62,69,69
1605374737,54,62,69,69
1605374738,54,63,68,69
1605374739,53,63,68,69
1605374740,53,64,68,68
1605374741,53,64,68,68
1605374742,53,64,68,68
1605374743,52,64,68,68
1605374744,52,65,69,68
1605374745,52,65,70,68
1605374746,52,65,70,68
1605374747,51,64,72,68
1605374748,51,64,72,68
1605374749,51,64,73,68
1605374750,51,64,73,68
1605374751,51,63,73,68
1605374752,51,63,74,68
1605374753,51,62,74,69
1605374754,51,62,74,69
1605374755,52,62,73,70
1605374756,52,62,73,70
1605374757,52,62,73,70
1605374758,52,63,73,70
1605374759,53,63,73,70
1605374760,53,63,73,70
1605374761,53,63,73,70
1605374762,53,63,72,70
1605374763,53,63,72,70
1605374764,53,64,72,70
1605374765,53,64,72,70
1605374766,53,64,71,69
1605374767,53,63,71,69
1605374768,54,63,71,69
1605374769,54,63,71,68
1605374770,54,63,71,68
1605374771,54,63,71,67
1605374772,54,63,72,67
1605374773,54,63,72,67
1605374774,55,64,72,66
1605374775,55,64,73,66
1605374776,56,65,73,66
1605374777,56,65,73,66
1605374778,56,66,74,66
1605374779,56,66,74,66
1605374780,57,66,74,66
1605374781,57,66,74,67
1605374782,58,66,74,67
1605374783,58,66,74,67
1605374784,58,66,74,67
1605374785,58,64,74,68
1605374786,58,64,75,68
1605374787,57,63,75,68
1605374788,57,63,75,68
1605374789,56,63,75,68
1605374790,56,63,74,68
1605374791,55,63,74,68
1605374792,55,63,73,68
1605374793,54,63,73,69
1605374794,54,63,72,69
1605374795,54,64,72,68
1605374796,54,64,71,68
1605374797,54,64,71,68
1605374798,54,64,70,68
1605374799,55,64,70,68
1605374800,55,64,70,68
1605374801,55,64,70,68
1605374802,55,64,70,68
1605374804,56,64,71,68
1605374805,56,64,71,69
1605374806,56,64,70,69
1605374807,56,64,70,69
1605374808,56,64,70,69
1605374809,56,63,70,69
1605374810,56,63,70,70
1605374811,56,63,69,70
1605374812,56,63,69,70
1605374813,55,63,69,70
1605374814,55,62,69,70
1605374815,55,62,69,70
1605374816,55,62,69,70
1605374817,54,62,70,70
1605374818,54,62,70,70
1605374819,53,62,71,70
1605374820,53,62,71,70
1605374821,53,62,72,70
1605374822,53,64,72,70
1605374823,53,64,73,70
1605374824,53,65,73,70
1605374825,53,65,73,70
1605374826,53,66,74,70
1605374827,53,66,74,70
1605374828,54,66,74,71
1605374829,54,66,74,70
1605374830,54,66,74,70
1605374831,54,66,74,70
1605374832,53,66,75,70
1605374833,53,65,75,70
1605374834,53,65,75,70
1605374835,53,64,75,70
1605374836,53,64,75,70
1605374837,52,64,75,70
1605374838,52,63,75,70
1605374839,52,63,75,70
1605374840,52,63,75,70
1605374848,53,63,74,70
1605374849,53,64,74,70
1605374850,54,64,74,70
1605374851,54,64,74,70
1605374852,54,64,73,70
1605374853,54,64,72,70
1605374854,54,64,72,70
1605374855,54,63,72,70
1605374856,54,63,71,70
1605374857,54,63,71,70
1605374858,53,62,71,70
1605374859,53,62,71,70
1605374860,53,62,71,70
1605374861,53,62,71,70
1605374862,53,62,71,70
1605374863,52,63,71,70
1605374864,53,62,71,70
1605374865,53,61,71,70
1605374866,52,61,71,70
1605374867,53,60,71,70
1605374868,53,60,71,69
1605374869,53,60,71,69
1605374870,53,61,72,69
1605374871,53,61,72,69
1605374872,54,61,72,69
1605374873,53,61,72,69
1605374874,53,62,73,69
1605374875,53,62,73,69
1605374876,53,62,73,69
1605374877,53,62,74,69
1605374878,54,62,74,69
1605374879,54,62,75,68
1605374880,53,62,75,68
1605374881,53,62,75,68
1605374882,53,62,75,68
1605374883,53,62,75,68
1605374884,53,61,74,68
1605374885,54,61,74,68
1605374886,54,61,74,68
1605374887,53,61,74,68
1605374888,53,61,73,68
1605374889,53,61,73,68
1605374890,53,61,73,68
1605374891,53,61,74,69
1605374892,54,61,74,69
1605374893,55,62,74,70
1605374894,55,62,75,70
1605374895,55,62,75,71
1605374896,56,62,75,72
1605374897,56,63,75,72
1605374898,57,63,75,73
1605374899,57,63,74,73
1605374900,57,64,73,73
1605374901,56,64,72,73
1605374902,56,65,71,73
1605374903,56,65,71,73
1605374904,56,65,71,73
1605374905,56,65,70,72
1605374906,55,65,70,72
1605374907,54,65,69,72
1605374908,54,65,69,72
1605374909,54,64,70,72
1605374910,54,64,70,72
1605374911,54,64,70,72
1605374912,54,63,71,72
1605374913,54,63,71,72
1605374914,54,63,71,72
1605374915,54,63,71,72
1605374916,55,62,71,72
1605374917,55,62,72,72
1605374918,56,62,72,72
1605374919,57,61,72,72
1605374920,57,61,72,72
1605374921,58,61,72,71
1605374922,58,61,72,71
1605374923,59,62,73,71
1605374924,59,62,73,70
1605374925,59,62,73,70
1605374926,59,63,73,70
1605374927,58,63,73,69
1605374928,58,63,73,68
1605374929,58,63,73,68
1605374930,57,65,73,69
1605374931,57,65,73,70
1605374932,56,66,72,70
1605374933,56,66,72,70
1605374934,55,66,72,70
1605374935,55,66,72,70
1605374936,55,66,72,70
1605374937,54,66,72,70
1605374938,54,65,72,69
1605374939,53,64,72,68
1605374940,52,63,72,67
1605374941,51,62,72,67
1605374942,51,61,72,66
1605374943,51,60,72,66
1605374944,51,60,71,65
1605374945,50,59,71,65
1605374946,50,59,71,66
1605374947,50,59,71,66
1605374948,50,59,70,67
1605374949,50,59,70,68
1605374950,51,60,70,68
1605374951,51,60,70,69
1605374952,51,61,70,70
1605374953,51,61,70,71
1605374954,52,62,70,71
1605374955,52,62,70,71
1605374956,52,63,70,71
1605374957,52,63,70,71
1605374958,52,64,70,70
1605374959,52,65,70,70
1605374960,52,65,70,70
1605374961,51,67,69,69
1605374962,51,67,70,69
1605374963,51,68,70,68
1605374964,51,68,71,68
1605374965,51,69,72,68
1605374966,51,69,73,68
1605374967,51,68,74,68
1605374968,51,68,75,69
1605374969,52,67,75,69
1605374970,52,67,76,69
1605374971,53,66,76,69
1605374972,54,65,77,70
1605374973,55,65,76,70
1605374974,55,65,76,70
1605374975,55,65,75,70
1605374976,56,66,75,70
1605374977,56,66,74,69
1605374978,57,67,74,69
1605374979,57,67,74,69
1605374980,57,67,73,68
1605374981,57,68,73,68
1605374982,57,68,73,67
1605374983,57,67,74,67
1605374984,57,67,74,66
1605374985,55,66,73,66
1605374986,55,65,73,66
1605374987,55,64,73,66
1605374988,54,64,73,66
1605374989,53,63,73,66
1605374990,53,63,72,66
1605374991,53,63,72,66
1605374992,52,62,71,66
1605374993,52,62,71,66
1605374994,52,63,69,66
1605374995,53,63,69,66
1605374996,53,63,69,66
1605374997,53,64,68,67
1605374998,53,64,68,67
1605374999,54,64,67,67
1605375000,54,64,67,68
1605375001,54,64,67,68
1605375002,54,64,67,69
1605375003,54,64,68,69
